Image Name,Description
pic.jpg,"A banana, apple, and peach making a smiley face."
pic2.jpg,A golden full moon rises over a silhouette of trees at sunset.
pic3.jpg,A curious cat is peeking over a white banner.
pic4.jpg,"Snow-capped mountain rises above fluffy clouds."
pic5.jpg,A cartoon cat and mouse standing next to each other on a white background.
pic6.jpg,A close-up of the Statue of Liberty's face with her crown and torch in view.
pic7.jpg,blue bicycle with a brown seat on a white background.
pic8.jpg,A TAROM airplane flying through a blue sky.
pic9.jpg,"A house with a red roof next to a river"
pic10.jpg,The elephant is standing on a dirt field with its trunk raised.
pic11.jpg,A cartoon illustration of a bicycle.
pic12.jpg,Horse running with white sky as background
pic13.jpg,A blue car in the desert
